Time,Consumption
Mode,normal,
00:02:09,1.00,
00:04:47,2.00,
00:07:37,3.00,
00:10:16,4.00,
00:12:53,5.00,
00:15:31,6.00,
00:18:21,7.00,
00:21:00,8.00,
00:23:39,9.00,
00:26:04,10.00,
00:28:55,11.00,
00:31:20,12.00,
00:33:58,13.00,
00:36:24,14.00,
