Time,Consumption
Mode,normal,
00:01:33,1.00,
00:04:36,2.00,
00:07:26,3.00,
00:10:29,4.00,
00:13:19,5.00,
00:16:09,6.00,
00:18:59,7.00,
00:21:50,8.00,
00:24:28,9.00,
00:27:18,10.00,
00:29:56,11.00,
00:32:46,12.00,
00:35:12,13.00,
