Time,Consumption
Mode,normal,
00:01:51,1.00,
00:04:29,2.00,
00:07:07,3.00,
00:09:33,4.00,
00:12:11,5.00,
00:14:37,6.00,
00:17:15,7.00,
00:19:41,8.00,
00:22:19,9.00,
00:24:45,10.00,
00:27:23,11.00,
00:29:49,12.00,
